variant,unit_type,n,spearman_r,med_log_ratio,sd_log_ratio,wilcoxon_p,med_abs_delta_rank,med_rel_rank_shift
τ=40,S,579,0.9942260837955085,-0.08029541850720895,0.24320082497187015,4.922407102107641e-54,165.0,0.04369889553817817
τ=40,I,928,0.985415706429812,-0.15422559553674214,0.1224060637014952,1.93954230092534e-147,166.0,0.0725669237749546
ρ=1,S,1084,0.9496642451265648,-0.12075032526240642,0.4018978669295196,4.2308736836888315e-28,60.0,0.05535055350553497
ρ=1,I,1653,0.9489026972670698,0.07795425273748702,0.2512882450912532,4.874695079603146e-30,81.0,0.049001814882032674
census=1yr,S,933,0.9615311022939239,-0.026766030345173553,0.4012674204976267,0.0005740602610521512,57.0,0.0441617921002361
census=1yr,I,1543,0.9571950398790254,-0.012138533621032899,0.2220120963196667,0.03240244103022011,81.0,0.03908837954048863
"α=0.85, μ=1/N_p",S,1084,0.7781225848563168,0.38211802246375287,1.0634211133308087,2.3178135270863045e-124,82.0,0.07564575645756463
"α=0.85, μ=1/N_p",I,1653,0.8795374793987846,0.3148958197081403,0.4699919450395876,2.214907786543374e-175,128.0,0.07743496672716271
"H_SS/II, no self",S,1079,0.6674032603464617,0.29727365039747733,1.0762615747459692,9.7677402259618e-86,115.0,0.10507115034078973
"H_SS/II, no self",I,1653,0.8689589107819304,0.32017115222019443,0.480538696594443,3.3502509804445823e-143,140.0,0.08469449485783426
no self-ref,S,1084,0.7802475509468576,0.3334352295865015,1.0521136389182777,1.5130729094174473e-127,80.0,0.07380073800738007
no self-ref,I,1653,0.8964308837956514,0.2574073937001933,0.42736831262411973,6.71300824345881e-176,113.0,0.06836055656382334
ω=1,S,1084,0.9997479995479838,0.008893095935213945,0.040508268272252054,4.037639965581437e-30,3.0,0.002767527675276771
ω=1,I,1653,0.991526013543821,0.008679843761111028,0.09540614962101343,1.5544468269031392e-15,24.0,0.014519056261343033
ε=1,S,1084,0.8493578623571062,0.15404895220387255,0.6489830773183999,3.2905023492407923e-18,91.5,0.08440959409594095
ε=1,I,1653,0.757239130361662,0.3532384380291122,0.5619595105867123,1.968127265089233e-117,189.0,0.11433756805807627
